########## REPORT GEN: 2 ##########
SPECIES: 
Labrum         		Mean: 74.21 		Best: 899.86 		N:12
Spence         		Mean: 73.88 		Best: 899.05 		N:12

########## REPORT GEN: 37 ##########
SPECIES: 
Hill           		Mean: 64.18 		Best: 947.19 		N:14
Alfaro         		Mean: 64.26 		Best: 947.19 		N:14
Griffin        		Mean: 181.21 		Best: 947.19 		N:5
Wininger       		Mean: 74.77 		Best: 947.19 		N:12
Spence         		Mean: 81.8 		Best: 947.19 		N:11
Shaw           		Mean: 74.63 		Best: 928.18 		N:12
Curb           		Mean: 180.07 		Best: 923.66 		N:5
Cloutier       		Mean: 81.69 		Best: 923.52 		N:11
Labrum         		Mean: 99.34 		Best: 919.18 		N:9
Doyle          		Mean: 63.54 		Best: 907.25 		N:14
Stahlberg      		Mean: 68.58 		Best: 906.67 		N:13
Rodriguez      		Mean: 99.69 		Best: 906.64 		N:9

########## REPORT GEN: 38 ##########
SPECIES: 
Shaw           		Mean: 74.56 		Best: 947.19 		N:12
Cloutier       		Mean: 81.82 		Best: 947.19 		N:11
Rodriguez      		Mean: 60.79 		Best: 947.19 		N:15
Doyle          		Mean: 179.97 		Best: 928.77 		N:5
Wininger       		Mean: 68.7 		Best: 928.18 		N:13
Stahlberg      		Mean: 89.41 		Best: 928.07 		N:10
Curb           		Mean: 113.04 		Best: 924.74 		N:8
Alfaro         		Mean: 112.4 		Best: 923.66 		N:8
