########## REPORT GEN: 2 ##########
SPECIES: 
Whittingham    		Mean: 184.46 		Best: 934.4 		N:5
Ernest         		Mean: 76.42 		Best: 934.4 		N:12
Freeney        		Mean: 183.74 		Best: 934.4 		N:5
Eddings        		Mean: 129.83 		Best: 934.34 		N:7
Necaise        		Mean: 114.1 		Best: 923.76 		N:8
Garza          		Mean: 182.14 		Best: 911.25 		N:5
Wyatt          		Mean: 302.09 		Best: 900.3 		N:3
Walker         		Mean: 82.37 		Best: 900.18 		N:11
Reid           		Mean: 90.57 		Best: 901.81 		N:10
Duncan         		Mean: 302.33 		Best: 900.09 		N:3

########## REPORT GEN: 36 ##########
SPECIES: 
Duncan         		Mean: 183.12 		Best: 937.24 		N:5
Smith          		Mean: 76.18 		Best: 934.4 		N:12
Maciel         		Mean: 101.37 		Best: 934.4 		N:9
Ernest         		Mean: 101.73 		Best: 934.4 		N:9
Wyatt          		Mean: 114.44 		Best: 934.4 		N:8
Garza          		Mean: 229.2 		Best: 934.34 		N:4
Reid           		Mean: 113.89 		Best: 933.3 		N:8
Eddings        		Mean: 129.93 		Best: 921.96 		N:7
Necaise        		Mean: 226.44 		Best: 900.07 		N:4
Whittingham    		Mean: 100.61 		Best: 901.81 		N:9
Walker         		Mean: 180.98 		Best: 900.08 		N:5
Freeney        		Mean: 226.52 		Best: 900.09 		N:4

########## REPORT GEN: 37 ##########
SPECIES: 
Maciel         		Mean: 230.1 		Best: 937.24 		N:4
Freeney        		Mean: 101.67 		Best: 937.24 		N:9
Duncan         		Mean: 130.27 		Best: 934.4 		N:7
Ernest         		Mean: 130.44 		Best: 934.4 		N:7
Wyatt          		Mean: 130.56 		Best: 934.4 		N:7
Walker         		Mean: 91.39 		Best: 934.4 		N:10
Necaise        		Mean: 151.2 		Best: 934.34 		N:6
Whittingham    		Mean: 112.59 		Best: 901.81 		N:8
Garza          		Mean: 100.6 		Best: 900.07 		N:9
Smith          		Mean: 75.54 		Best: 900.07 		N:12
Reid           		Mean: 226.57 		Best: 900.06 		N:4
Eddings        		Mean: 302.41 		Best: 900.09 		N:3

########## REPORT GEN: 38 ##########
SPECIES: 
Walker         		Mean: 113.86 		Best: 937.24 		N:8
Eddings        		Mean: 228.58 		Best: 937.24 		N:4
Ernest         		Mean: 184.54 		Best: 934.4 		N:5
Whittingham    		Mean: 70.65 		Best: 934.4 		N:13
Smith          		Mean: 129.84 		Best: 934.34 		N:7
Garza          		Mean: 114.22 		Best: 923.59 		N:8
Wyatt          		Mean: 181.84 		Best: 921.96 		N:5
Reid           		Mean: 100.9 		Best: 921.96 		N:9
Maciel         		Mean: 113.19 		Best: 911.5 		N:8
Duncan         		Mean: 226.85 		Best: 900.51 		N:4
Freeney        		Mean: 226.91 		Best: 900.06 		N:4
Necaise        		Mean: 300.02 		Best: 899.72 		N:3

########## REPORT GEN: 39 ##########
SPECIES: 
Eddings        		Mean: 130.39 		Best: 937.24 		N:7
Garza          		Mean: 83.15 		Best: 937.24 		N:11
Maciel         		Mean: 76.25 		Best: 937.24 		N:12
Smith          		Mean: 306.14 		Best: 934.4 		N:3
